Date,Open,High,Low,Close,Adj Close,Volume
2018-08-10,155400,156400,154000,154200,153793.125,345420
2018-08-13,153400,153400,150000,151000,150601.5625,418340
2018-08-14,152000,153400,150800,151400,151000.5156,308015
2018-08-16,150000,152600,149000,150000,149604.2031,570495
2018-08-17,150800,153600,149600,151000,150601.5625,193900
2018-08-20,152800,153200,150600,151000,150601.5625,194680
2018-08-21,150800,152200,149400,149400,149005.7813,241605
2018-08-22,149400,149600,148200,149400,149005.7813,239675
2018-08-23,151000,154600,150400,154400,153992.5938,495420
2018-08-24,154200,155800,151000,151600,151199.9844,271300
2018-08-27,152600,155000,152000,153800,153394.1719,223740
2018-08-28,154400,154400,150600,151200,150801.0313,233335
2018-08-29,151200,152000,149600,149600,149205.2656,274750
2018-08-30,149600,151400,149000,149200,148806.3125,238975
2018-08-31,149400,151200,149200,150400,150003.1563,289765
2018-09-03,150600,151000,149400,150800,150402.0938,156035
2018-09-04,151400,151400,149800,151000,150601.5625,187280
2018-09-05,150600,150600,145400,147200,146811.5938,591425
2018-09-06,147200,148000,145400,146000,145614.7656,352455
2018-09-07,146400,147000,144400,146400,146013.7031,322865
2018-09-10,144000,146400,144000,145000,144617.3906,359830
2018-09-11,144600,146200,144400,145200,144816.875,292970
2018-09-12,146000,146800,145200,146000,145614.7656,291080
2018-09-13,147000,147000,144600,144600,144218.4531,514055
2018-09-14,145200,146600,144800,146000,145614.7656,365840
2018-09-17,145000,146200,144600,145600,145215.8125,269755
2018-09-18,144000,145800,144000,145000,144617.3906,277260
2018-09-19,145200,146800,145000,146200,145814.2344,276430
2018-09-20,144400,146800,144400,146200,145814.2344,287195
2018-09-21,148200,148600,144600,145000,144617.3906,375655
2018-09-27,143000,146000,142400,142600,142223.7344,390075
2018-09-28,143400,143800,142600,143200,142822.1406,487325
2018-10-01,143600,144400,142200,142600,142223.7344,211085
2018-10-02,143000,143000,137200,137800,137436.3906,744920
2018-10-04,140000,140400,137000,139000,138633.2344,353485
2018-10-05,136400,143200,136400,140800,140428.4844,427980
2018-10-08,140800,140800,140800,140800,140428.4844,0
2018-10-10,140800,140800,140800,140800,140428.4844,0
2018-10-11,140800,140800,140800,140800,140428.4844,0
2018-10-12,138000,142000,132500,142000,141625.3125,654013
2018-10-15,138500,139000,135000,136000,135641.1406,642772
2018-10-16,137500,138500,130000,133500,133147.7344,575704
2018-10-17,132500,134500,129500,130000,129656.9766,5304519
2018-10-18,128000,128000,123500,125000,124670.1719,880738
2018-10-19,124500,127500,124000,127500,127163.5703,1114452
2018-10-22,127500,130000,125500,129000,128659.6172,324730
2018-10-23,129000,130000,123500,125500,125168.8516,822259
2018-10-24,127500,129000,124500,127000,126664.8906,679196
2018-10-25,120500,121000,114000,119000,118686,1529110
2018-10-26,119000,119000,110000,113000,112701.8359,1544405
2018-10-29,112500,113500,109000,109500,109211.0703,649910
2018-10-30,108000,112000,104000,110500,110208.4297,939865
2018-10-31,110500,115000,108500,114500,114197.875,1016429
2018-11-01,113500,116500,110500,111500,111205.7891,805655
2018-11-02,111500,118500,111500,116500,116192.6016,1320415
2018-11-05,115000,115500,111500,113500,113200.5156,442640
2018-11-06,114000,117500,113500,117000,116691.2813,453810
2018-11-07,117500,119000,113500,115500,115195.2344,385827
2018-11-08,118000,120000,115500,116500,116192.6016,404191
2018-11-09,115000,118000,115000,115000,114696.5547,295733
2018-11-12,114500,116500,114500,115000,114696.5547,260849
2018-11-13,115500,117500,114000,116000,115693.9219,435937
2018-11-14,115500,116500,114000,115500,115195.2344,335405
2018-11-16,113500,114500,111500,112500,112203.1563,872059
2018-11-19,113000,114000,110500,111500,111205.7891,697289
2018-11-20,110000,112000,107000,108000,107715.0234,693868
2018-11-21,105500,107000,104500,106500,106218.9844,525328
2018-11-22,107000,111500,107000,109500,109211.0703,504744
2018-11-23,110000,115500,109500,114000,113699.1953,691736
2018-11-26,115000,124500,114500,124000,123672.8125,805023
2018-11-27,124000,129500,122500,125000,124670.1719,637199
2018-11-28,128500,130500,126500,129000,128659.6172,645902
2018-11-29,133000,134000,129000,130500,130155.6563,559552
2018-11-30,131000,131000,126000,126500,126166.2109,801837
2018-12-03,130500,130500,125000,126000,125667.5313,486166
2018-12-04,127500,127500,122500,123500,123174.125,512742
2018-12-05,124500,127000,123000,125000,124670.1719,308805
2018-12-06,123000,124000,119500,120000,119683.3672,445309
2018-12-07,121500,123500,119500,121000,120680.7266,565663
2018-12-10,119000,121500,117500,119000,118686,376421
2018-12-11,120000,123500,117500,123000,122675.4453,506349
2018-12-12,124000,126000,122500,124500,124171.4922,490812
2018-12-13,125500,125500,123000,124000,123672.8125,972556
